Title,Company,Address,Activity Type,About,General Lead Summary,Estimated New Jobs,Timeframe,Created
"Soligent  - Millstone, New Jersey  -  -",Soligent ,"1 Debaun Road, suite 200, Millstone, New Jersey, 08535, United States",Lease,"Soligent Distribution is the largest solar distributor in the Americas, supplying solar energy equipment, engineering services, and project financing solutions to thousands of solar installers and contractors.","Soligent, a distributor of clean energy products and services, has signed an industrial lease in Millstone, New Jersey. The company will occupy nearly half of a 132,930-square-foot building, which features a clear height of 32 feet, 4,000 square feet of office space, and battery charging stations for electric forklifts. Peak Construction Corp. is managing the build-out of the space, while Boston-based Cabot Properties owns the building.",,,"By Matt Robbins on Oct 22, 2024"
"John Deere - Lowell, Indiana  -  -",John Deere,"Lowell, Indiana, United States",New Facility,"John Deere is a global leader in the production of agricultural, construction, and forestry equipment and solutions. In addition, we develop drivetrain components and engines for industrial and marine equipment as well as generator drives.","John Deere plans to build a 1.2 million-square-foot warehouse near the intersection of I-65 and State Road 2 in Lowell, Indiana. The company acquired a 234-acre plot for $7 million to develop the facility, which will serve as its Midwestern distribution hub. The project, developed by Venture One, involves an investment of over $125 million and is expected to create 400 to 500 full-time jobs and 1,200 union construction jobs. The facility, one of Lake County’s largest buildings, represents a significant economic boost for the area, though the timeline for construction is yet to be determined.",500,,"By Matt Robbins on Oct 22, 2024"
"Home Market Foods - South Windsor, Connecticut  -  -",Home Market Foods,"South Windsor, Connecticut, United States",Expansion,"Home Market Foods is a food manufacturing company that specializes in producing high-quality, fully-cooked meat products. They are known for their branded and private-label products, which include a range of prepared foods such as meatballs, sausages, chicken, and other protein-based products. Their brands include Cooked Perfect, RollerBites, and Artisan Fire Pizza. The company emphasizes quality, convenience, and taste in its product offerings, catering to both retail and food service markets.","Home Market Foods plans to establish operations in South Windsor, Connecticut, with an investment exceeding $70 million. This project is expected to create 210 jobs by the end of 2027 and involves renovating and building out the former Carla's Pasta building, with operations scheduled to begin in June 2025. The initiative is supported by up to $4.7 million in state tax credits and local tax incentives. CEO Doug Atamian highlighted the opportunity to expand manufacturing capabilities and meet consumer demands. Connecticut Governor Ned Lamont praised the collaborative effort that helped attract Home Market Foods to the state.",210,,"By Matt Robbins on Oct 22, 2024"
"The University of Maryland Medical System (UMMS) - Baltimore, Maryland  -  -",The University of Maryland Medical System (UMMS),"Baltimore, Maryland, United States",New Facility,"The University of Maryland Medical System (UMMS) is a private, not-for-profit corporation founded in 1984 and based in Baltimore, Maryland. It operates a comprehensive network of healthcare facilities and services across the state. Foundation and Structure: UMMS was established in 1984 when the state-owned University Hospital became a nonprofit organization. It is a university-based regional health system focused on serving the healthcare needs of Maryland. Facilities: As of 2023, UMMS owns and operates 11 hospitals, 4 free-standing emergency rooms, and over 150 care locations, including urgent care centers. Capacity: The system has over 2,400 licensed beds and handles approximately 100,000 annual admissions. It generates gross patient revenues of $4.86 billion annually","University of Maryland Medical System (UMMS) is set to open a new 400,000-square-foot logistics operation center in Baltimore in 2025. Situated in the Tradepoint Atlantic industrial park, this center will centralize supply chain and pharmacy operations for UMMS's 11 hospitals and over 150 facilities. The facility will feature advanced sterilization equipment, automated conveyors, and robotic analyzers to efficiently handle and sterilize medical supplies. It will also include sophisticated HVAC and water purification systems to maintain the integrity of pharmaceuticals and laboratory specimens. This centralization aims to improve standardization, reduce waste, and enhance inventory management across the UMMS network.",,,"By Matt Robbins on Oct 22, 2024"
"Goodin Company - Saint Joseph, Minnesota  -  -",Goodin Company,"Saint Joseph, Minnesota, United States",New Facility,"Goodin Company is a wholesale distributor that specializes in plumbing, HVAC (heating, ventilation, and air conditioning), mechanical, and industrial products. They supply a wide range of products to contractors, businesses, and industries. The company provides essential supplies for various projects and maintenance needs in the sectors they serve. Their offerings typically include pipes, valves, fittings, water heaters, air conditioning units, and other related equipment and accessories.","Goodin Company has quietly opened a new 200,000-square-foot warehouse in St. Joseph's industrial park at 726 21st Ave. NE, with an official grand opening to be announced later in July. This facility, replacing the former St. Cloud location, primarily serves as an 80% warehouse space with the remainder dedicated to offices, showrooms, and sales staff. Founded in 1937 in Minneapolis, Goodin specializes in HVAC materials and pump and well supplies, catering to licensed residential and commercial contractors. The new location offers improved accessibility for shipping and delivery and continues the company's expansion across five states with 15 locations.",,,"By Matt Robbins on Oct 22, 2024"
"House-Hasson Hardware  - Helena-West Helena, Arkansas  -  -",House-Hasson Hardware ,"Helena-West Helena, Arkansas, United States",Expansion,"House-Hasson Hardware is a wholesale hardware distributor. They provide a wide range of products and services to independent hardware stores, lumberyards, and home centers. House-Hasson Hardware offers products including tools, building materials, lawn and garden supplies, plumbing and electrical supplies, and various other hardware items. They also provide services such as inventory management, marketing support, and retail consulting to help their customers succeed in the competitive hardware market.","House-Hasson Hardware, based in Knoxville, Tennessee, has acquired the Southern Hardware Co. Inc. warehouse in Helena-West Helena, Arkansas, along with another facility in northern Indiana. The deal, finalized on June 28, 2024, expands House-Hasson's warehousing space to approximately 1.3 million square feet and enhances its service capability in Texas, Louisiana, Arkansas, and other Southwestern states. Seventy-five employees from Bostwick-Braun, the previous owner, have joined House-Hasson. Founded in 1906, House-Hasson is now the largest independent regional hardware distributor in the U.S., serving nearly 3,000 locations across 19 states and the Caribbean Basin.",,,"By Matt Robbins on Oct 22, 2024"
"DW Distribution - Midlothian, Texas  -  -",DW Distribution,"Midlothian, Texas, United States",Lease,"DW Distribution, established in 1955 and based in DeSoto, Texas, is a family-owned wholesale distributor specializing in building materials and millwork products. They offer a wide range of products including doors, trim, lumber, and Hardie products.","Logistics Property Co. has signed a 550,000-square-foot lease with DW Distribution at Southern Star Logistics Park in Midlothian, Texas. The lease includes 25 acres of adjacent outdoor storage land and dual rail service. DW Distribution, a Specialty Building Products brand, chose the park for its rail services and heavy power needed for specialty building materials distribution. The park, completed in 2022, features a 548,340-square-foot warehouse with advanced facilities and is set to expand with a new 582,400-square-foot build-to-suit facility. The site is located close to U.S. Route 67 and serviced by BNSF Railway and Union Pacific Railroad.",,,"By Matt Robbins on Oct 22, 2024"
"Aramark  - Atlanta, Georgia  -  -",Aramark ,"Atlanta, Georgia, United States",Lease,"Aramark is a global company that provides food, facilities, and uniform services. Their clients include education, healthcare, business, sports, leisure, and corrections. Aramark's core market is North America, with an additional 20 countries serving many global geographies","Aramark, one of the largest U.S. food service distributors, has leased approximately 45,000 square feet at a newly completed warehouse in suburban Atlanta. This facility is part of a four-building industrial complex developed by Stonemont Financial Group and Seven Oaks Company, which was completed in February.",,,"By Matt Robbins on Oct 22, 2024"
"Aspen Laser Systems, LLC - Lindon, Utah  -  -","Aspen Laser Systems, LLC","Lindon, Utah, United States",Expansion,"Aspen Laser Systems, LLC specializes in medical devices utilizing photomedicine technology, particularly focusing on photobiomodulation. The company emphasizes fast-acting, non-invasive treatments for conditions like pain management and tissue repair. Aspen Laser Systems, LLC is recognized for its expertise in design, manufacturing, and regulatory compliance in the medical device industry.","Aspen Laser Systems, LLC, and TheraLight, LLC, two co-owned U.S.-based medical device companies specializing in photomedicine, have completed an expansion of their corporate headquarters and warehouse in Lindon, Utah. The expansion, finalized in April 2024, includes an additional 6,000 square feet for the warehouse and 1,500 square feet for the office, bringing their total space to over 15,000 square feet. This new space supports increased service, repair, production needs, and growing sales demand, and will enhance the companies' research and development in photobiomodulation technology.",,,"By Matt Robbins on Oct 22, 2024"
"Tailored Brands  - Aurora, Illinois  -  -",Tailored Brands ,"2000 Deerpath Road, Aurora, Illinois, 60506, United States",New Facility,"Tailored Brands is a leading omnichannel retailer that delivers personalized products and services through its network of stores and ecommerce sites. Its brands include leading menswear retailers Men's Wearhouse, Jos. A. Bank and Moores, and family retailer K&G Fashion Superstore","Tailored Brands, the largest specialty retailer of menswear and rental products in the U.S., has opened a new 285,000-square-foot rental distribution center at 2000 Deerpath Road in Aurora, Illinois. This facility, strategically located in the Orchard Gateway warehouse, aims to improve service and efficiency by reducing shipping times and costs for nearly 140 Men's Wearhouse and Jos. A. Bank stores in Chicago, Cincinnati, Detroit, and Minneapolis. The Aurora DC employs 125 full- and part-time team members, along with over 100 seasonal employees during peak seasons. The new center, celebrated with a ribbon-cutting ceremony on June 26, 2024, will enhance product availability and enable next-day deliveries.",100,,"By Matt Robbins on Oct 22, 2024"
"Marvin  - Reno, Nevada  -  -",Marvin ,"30 Airway Drive, Reno, Nevada, 89502, United States",New Facility,"Marvin Windows and Doors is a window and door supplier that has been in business for over 110 years. They are known for their high-quality products, competitive prices, and good customer service","Marvin has opened its first distribution center at 3030 Airway Drive in Reno, Nevada, aiming to streamline the delivery of its window and door products to dealers and customers on the West Coast. The 110,000-square-foot facility, leased from Tolles Development Co., will significantly enhance delivery efficiency by centralizing shipments from various manufacturing locations. This new hub, benefiting from Northern Nevada's strategic location and strong logistics network, is expected to improve customer experience by consolidating orders into single shipments. Marvin, which employs over 7,000 people nationwide, has already hired more than 30 employees for the Reno facility and plans to expand to 60. This distribution center is part of Marvin's broader strategy to support its growth and dealer network, with additional centers planned, including one in Windsor, Connecticut.",30,,"By Matt Robbins on Oct 22, 2024"
"Vital Farms  - Seymour, Indiana  -  -",Vital Farms ,"Seymour, Indiana, United States",New Facility,"Vital Farms is a company dedicated to producing ethically sourced food, primarily known for its pasture-raised eggs and other poultry products.","Texas-based Vital Farms is expanding its operations by establishing a new 72-acre distribution plant in Seymour, Indiana, which will create more than 150 jobs. This facility will focus on egg washing and packing, partnering with 160 small farms to source pasture-raised eggs. The company, which already has a plant in Missouri and distributes to 24,000 stores nationwide, aims to enhance local agriculture and support small family farms with relatively small bird populations. The new plant is expected to significantly impact the local economy and agriculture sector.",150,,"By Matt Robbins on Oct 22, 2024"
"Highline Warren - Vacaville, California  -  -",Highline Warren,"Vacaville, California, United States",Hiring,"Highline Warren is a company that manufactures and distributes automotive aftermarket products. They produce and distribute packaged lubricants, filters, tools, and accessories. Highline Warren's products include passenger car motor oil, heavy duty engine oil, and industrial oils","Highline Warren is opening a new 415,000-square-foot distribution center in Vacaville, California, and is actively hiring throughout the remainder of the year and into early 2025. The facility, one of the company's largest, will streamline operations by consolidating multiple West Coast distribution centers, enhancing inventory capacity, and supporting the growth of the company's filtration business. Highline Warren, North America's leading manufacturer and distributor of automotive aftermarket maintenance products, is looking for equipment operators, administrative/clerical assistants, and will soon seek operations supervisors and merchandise processors. The company offers a comprehensive benefits package and a safety-focused, teamwork-oriented culture.",,,"By Matt Robbins on Oct 22, 2024"
"SunOpta Foods (SunOpta Inc.) - Modesto, California  -  -",SunOpta Foods (SunOpta Inc.),"Modesto, California, United States",Expansion,"SunOpta Food Solutions is a division of SunOpta Inc., a global company specializing in natural and organic food products. SunOpta Food Solutions offers a wide range of plant-based and organic ingredients, as well as custom food and beverage solutions to the food industry.","SunOpta, a manufacturer of oat milk and supplier of liquid and dried oat base ingredients, has increased its annual oat milk production by over 60% following a $26 million expansion at its Modesto, California facility. The expansion added 167,684 square feet of production space and created 17 new jobs. SunOpta uses an enzymatic process to break down whole oats into a liquid oat base for oat milk and other plant-based products. This expansion aligns with their sustainability goals by reducing freight miles and carbon emissions. Additionally, SunOpta opened a new $125 million plant-based beverage manufacturing plant in Midlothian, Texas, in February 2023.",17,,"By Matt Robbins on Oct 22, 2024"
"YK Yusen Logistics - Secaucus, New Jersey  -  -",YK Yusen Logistics,"300 Lighting Way, Secaucus, New Jersey, 07094, United States",Expansion,"Yusen Logistics is a global logistics provider that offers a wide range of services, including warehousing, freight forwarding, transportation, and supply chain solutions.","Yusen Logistics, a leading global supply chain provider, announced that it has acquired ownership of Taylored Services, a U.S. multichannel 3PL fulfillment organization. The deal expands Yusen Logistics' Contract Logistics Group's warehouse network in key distribution areas of the United States and further strengthens its end-to-end supply chain portfolio with specialized services, such as omnichannel retail, wholesale, and e-Commerce fulfillment.",,,"By Matt Robbins on Oct 22, 2024"
"Wayfair - Hartford, Connecticut  -  -",Wayfair,"Hartford, Connecticut, United States",New Facility,"Wayfair is an online retailer that sells furniture and home goods. Founded in 2002, Wayfair is based in Boston, Massachusetts. It offers 14 million items from more than 11,000 global suppliers.","Officials announced Monday at the ceremonial groundbreaking that 2.5 million square feet of distribution warehouses for Wayfair home furnishings stores will be built on the wide expanse of historic Rentschler Field. The dual warehouses are expected to create 400 construction jobs and up to 1,000 permanent positions, the developers said. Annual tax revenue for the entire logistics and technology center will be about $4 million, officials said. ",1000,,"By Matt Robbins on Oct 22, 2024"
"JQOL Global - Louisville, Kentucky  -  -",JQOL Global,"Louisville, Kentucky, United States",New Facility,"JQOL Global, founded in 2019, is a certified Minority Business Enterprise (MBE) and Disadvantaged Business Enterprise (DBE) based in Indianapolis, Indiana. They specialize in providing a range of engineering services, including site engineering, structural engineering, and construction administration.","JQOL Global, a full-service civil engineering firm, plans to establish a production facility in Louisville, Kentucky, with a $6.4 million investment expected to create 113 jobs. The 5,000-square-foot facility will be located at 501 Baxter Avenue. The Kentucky Economic Development Finance Authority has preliminarily approved a 10-year incentive agreement under the Kentucky Business Investment program, potentially providing up to $2 million in tax incentives. JQOL Global's expansion is supported by state and local incentives, and the company will also benefit from resources provided by Kentucky’s workforce service providers. This move underscores Louisville's business-friendly environment and skilled workforce",113,,"By Matt Robbins on Oct 22, 2024"
"Cargill - Atlanta, Georgia  -  -",Cargill,"Atlanta, Georgia, United States",New Facility,"Cargill Salt is a salt manufacturer that supplies the food, manufacturing, agriculture, and industrial industries. They are located in Newark, California and have been producing food-grade salt since 1966","Cargill, a global leader in food and agriculture, plans to establish an operations hub in Atlanta, Georgia, creating over 400 jobs. The hub will initially house Cargill’s Digital, Technology, and Data organization, with operations set to begin in Fall 2024. The project is supported by the Georgia Department of Economic Development’s Global Commerce division in partnership with Select Fulton, Metro Atlanta Chamber, Invest Atlanta, Georgia Power, and the University System of Georgia. This expansion highlights Atlanta’s business-friendly environment and robust tech talent, positioning Cargill to leverage digital technology to drive business growth.",400,,"By Matt Robbins on Oct 22, 2024"
"James M. Pleasants Company Inc. - Greensboro, North Carolina  -  -",James M. Pleasants Company Inc.,"Greensboro, North Carolina, United States",Expansion,"Specializes as a manufacturer's representative in the commercial HVAC (Heating, Ventilation, and Air Conditioning) and plumbing equipment sectors. Established in 1958 by James M. Pleasants, the company focuses on providing efficient and reliable solutions for energy systems, optimizing productivity in both people and buildings.","James M. Pleasants Company Inc., a distributor and sales representative for HVAC, plumbing, and other industrial equipment, is consolidating its operations in Greensboro, North Carolina, with a $30 million investment expected to create 40 jobs in Guilford County. The project will centralize the company’s headquarters, distribution, and light manufacturing operations. A performance-based grant of $35,000 from the One North Carolina Fund will support the project, contingent on the creation of 19 jobs over three years and matching local government grants. This expansion is supported by multiple local and state organizations, emphasizing North Carolina's commitment to fostering business growth.",19,,"By Matt Robbins on Oct 22, 2024"
"Lee Kum Kee Sauce Group - LaGrange, Georgia  -  -",Lee Kum Kee Sauce Group,"LaGrange, Georgia, United States",New Facility,"Lee Kum Kee Sauce Group is a renowned Chinese company specializing in the production and distribution of a wide variety of sauces and condiments. Established in 1888, it is best known for its oyster sauce, which was its original product. Over the years, Lee Kum Kee has expanded its product range to include soy sauce, hoisin sauce, chili sauces, and various cooking sauces. The company prides itself on its commitment to quality, innovation, and maintaining the rich heritage of Chinese culinary traditions. With a global presence, Lee Kum Kee products are widely used in both professional kitchens and home cooking around the world.","Lee Kum Kee Sauce Group plans to establish manufacturing operations in LaGrange, Georgia, with an investment of up to $288 million expected to create 267 jobs in Troup County. The new facility at the Georgia International Business Park will feature intelligent factory solutions, digitalization, product innovation and R&D capabilities, and a consumer engagement center. This expansion aims to meet the growing demand for Asian cuisines in the Americas by increasing production capacity and efficiency.",267,,"By Matt Robbins on Oct 22, 2024"
"Thermo Fisher Scientific  - Middleton, Wisconsin  -  -",Thermo Fisher Scientific ,"Middleton, Wisconsin, United States",Expansion,"Thermo Fisher Scientific Inc. is a Waltham, Massachusetts-based company that supplies analytical instruments, laboratory equipment, software, services, and more to a variety of industries. Their products and services are used by hospitals, universities, research institutions, government agencies, and pharmaceutical and biotech companies.","Thermo Fisher Scientific Inc. is expanding its operations in Middleton, Wisconsin, with a $58 million investment expected to create 350 jobs. The project involves constructing a new 72,500-square-foot facility dedicated to PPD, its clinical research brand, at the company's GMP lab. This expansion aims to increase capacity and capabilities in laboratory services to support biopharmaceutical therapies. The Wisconsin Economic Development Corporation (WEDC) is authorizing up to $2.15 million in performance-based business development tax credits to support the project, contingent on job creation and capital investment. This development reinforces Thermo Fisher’s commitment to innovation and supporting the biohealth and biotechnology industry.",350,,"By Matt Robbins on Oct 22, 2024"
"Takeda Pharmaceuticals - Los Angeles, California  -  -",Takeda Pharmaceuticals,"4501 Colorado Boulevard, Los Angeles, California, 90039, United States",Expansion,"Takeda Pharmaceutical Company Limited is located at 4501 Colorado Blvd, Los Angeles, CA. The company's Los Angeles facility produces plasma-derived products for patients with chronic, rare, and genetic diseases. Takeda is a global pharmaceutical company that focuses on several areas,","Takeda Pharmaceuticals is expanding its operations in Los Angeles, California, with a $230 million investment expected to create 125 jobs. This expansion aims to meet the growing demand for plasma-derived therapies for rare, chronic, and genetic diseases such as immunodeficiencies and bleeding disorders. The new facility will add a plasma fractionation capacity of up to 2 million liters per year. This investment underscores Takeda's commitment to its U.S. manufacturing footprint and global supply chain resilience, supporting the increasing global demand for plasma-derived therapies.",125,,"By Matt Robbins on Oct 22, 2024"
"Unither Pharmaceuticals - Henrietta, New York  -  -",Unither Pharmaceuticals,"Henrietta, New York, 14467, United States",Expansion,"Unither Pharmaceuticals is a global contract development and manufacturing organization (CDMO) that specializes in the development and production of pharmaceutical products. The company is known for its expertise in single-unit dose solutions and innovative delivery systems such as sterile unit doses, effervescent tablets, oral liquids, and solid doses. Unither Pharmaceuticals focuses on providing high-quality, cost-effective manufacturing and development services for pharmaceutical companies, helping them bring new products to market efficiently. The company operates multiple manufacturing facilities and serves clients worldwide, emphasizing quality, regulatory compliance, and customer satisfaction.","France-based Unither Pharmaceuticals plans to consolidate and upgrade its operations in Henrietta, New York, with a $106 million investment expected to create 180 jobs in Monroe County. The project includes an additional 43,000 square feet to accommodate new equipment and expand warehouse capabilities. Supported by up to $7 million through the Empire State Development's Excelsior Jobs Tax Credit program, the expansion will enhance Unither's capacity for preservative-free sterile products. This upgrade aligns with Unither’s commitment to innovative, competitive solutions that reduce environmental impact and supports job growth in the Finger Lakes region",180,,"By Matt Robbins on Oct 22, 2024"
"Windsor Door - Little Rock, Arkansas  -  -",Windsor Door,"Little Rock, Arkansas, United States",New Facility,"Windsor Door is a company that specializes in manufacturing and distributing residential and commercial garage doors. They offer a variety of garage door styles, materials, and designs, catering to both home and business needs. Windsor Door is known for its high-quality products, durability, and innovative solutions in the garage door industry. Their product range includes traditional raised panel doors, carriage house doors, and modern contemporary designs, with options in steel, wood, and composite materials. Additionally, Windsor Door provides customization options and a range of accessories to enhance the functionality and aesthetic appeal of their doors.","Windsor Door, a manufacturer and distributor of residential garage and commercial sectional overhead door products, plans to upgrade its operations in Little Rock, Arkansas, with a $21 million investment. The upgrade includes a new production line that will double the facility’s current output. Windsor Door, renowned for reliable and aesthetically appealing garage doors, aims to drive innovation in its processes and products. The investment is supported by the Arkansas Economic Development Commission, highlighting Windsor Door’s ongoing success and commitment to growth in the state.",,,"By Matt Robbins on Oct 22, 2024"
"Princeton NuEnergy - Chester, South Carolina  -  -",Princeton NuEnergy,"Chester, South Carolina, 29706, United States",New Facility,"Princeton NuEnergy specializes in innovative clean-tech solutions, particularly in the direct recycling of lithium-ion batteries (LIBs).","Princeton NuEnergy, a clean technology company, plans to establish a new recycling facility in Chester, South Carolina, with an $11 million investment expected to create 41 jobs. The 25,000-square-foot facility at 564 Ecology Lane will recycle lithium-ion batteries from electric vehicles and manufacturing scrap to produce advanced blackmass and rejuvenated cathode active material. Operations are scheduled to begin in the third quarter of 2024. The project is supported by job development credits and a $500,000 Rural Infrastructure Fund grant from the Coordinating Council for Economic Development, highlighting South Carolina's growing role in the EV industry and commitment to sustainability.",41,,"By Matt Robbins on Oct 22, 2024"
"TCOM - Elizabeth City, North Carolina  -  -",TCOM,"Elizabeth City, North Carolina, 27909, United States",Expansion,"TCOM is a company that specializes in intelligence, surveillance, and reconnaissance (ISR) solutions for various applications including air, land, and sea. Established in 1971 and headquartered in Columbia, Maryland, TCOM is recognized globally for its expertise in airborne persistent surveillance solutions. The company is a leading provider of lighter-than-air platforms, such as tethered aerostats and airships, which are used for continuous surveillance over extended periods with minimal maintenance costs.","TCOM, a manufacturer of air surveillance systems, plans to expand its operations in Elizabeth City, North Carolina, with a $763,000 investment expected to create 25 jobs in Pasquotank County. The expansion will include additional training, engineering, and lab space at TCOM's existing 300,000-square-foot facility. Supported by a $75,000 performance-based grant from the One North Carolina Fund, the project benefits from the region's skilled manufacturing workforce and proximity to military installations. Partners include the North Carolina Department of Commerce, the Economic Development Partnership of North Carolina, and local educational institutions.",25,,"By Matt Robbins on Oct 22, 2024"
"Novo Nordisk - Clayton, North Carolina  -  -",Novo Nordisk,"Clayton, North Carolina, United States",New Facility,"Novo Nordisk is a global healthcare company founded in 1923 and headquartered in Denmark. 
Novo Nordisk specializes in manufacturing and marketing pharmaceutical products, focusing notably on diabetes care medications and devices.","Novo Nordisk announced a $4.1 billion investment to construct a new 1.4 million-square-foot manufacturing facility in Clayton, North Carolina. This expansion is the largest single life science investment in North Carolina's history and is expected to create 1,000 new jobs, with an additional 2,000 jobs during the construction phase. The new facility, nearly four times the size of the existing Clayton plant, will produce and package medications for chronic diseases, including obesity. The project underscores Novo Nordisk’s confidence in North Carolina's workforce and biopharmaceutical industry, with major construction phases slated for completion between 2027 and 2029.",1000,,"By Matt Robbins on Oct 22, 2024"
"Tyler Technologies, Inc. - Kingston Springs, Tennessee  -  -","Tyler Technologies, Inc.","Kingston Springs, Tennessee, 37082, United States",New Facility,"Tyler Technologies, Inc. is a prominent provider of software and technology services tailored for the public sector, including state, local, and federal government organizations as well as educational institutions","Tyler Technologies, Inc. has opened a new 21,000-square-foot manufacturing facility in Kingston Springs, Tennessee, to support the production of hardware for its Enterprise Corrections software. This new facility significantly accelerates the manufacturing process of correctional-grade kiosks, tablets, and mobile devices from six weeks to three days. The environmentally friendly facility will enhance Tyler’s ability to serve more than 150 jurisdictions across Tennessee and support over 500 correctional facilities nationwide. The expansion is part of Tyler’s commitment to meeting the growing demand for its corrections solutions and includes in-house recycling of old kiosks to reduce environmental impact.",,,"By Matt Robbins on Oct 22, 2024"
"Cold Zone Inc. - Springfield, Missouri  -  -",Cold Zone Inc.,"Springfield, Missouri, United States",New Facility,"Cold Zone Inc. specializes in temperature-controlled warehousing and logistics, primarily located in Springfield, Missouri. The company provides environmentally-friendly refrigerated and frozen storage solutions with direct access to major transportation routes. Cold Zone Inc. is part of the Erlen Group.","In Springfield, Cold Zone, a subsidiary of the Erlen Group, has broken ground on a new $57 million cold storage warehouse. The 170,000-square-foot facility, located in the Partnership Industrial Center West, will provide advanced cold storage logistics solutions with multiple temperature zones. This development is expected to create numerous job opportunities and is part of a larger expansion in the industrial park.",,,"By Matt Robbins on Oct 22, 2024"
"Ed Miniat LLC - Carrollton, Georgia  -  -",Ed Miniat LLC,"Carrollton, Georgia, United States",Expansion,"Ed Miniat LLC is a fifth-generation, family-owned business that specializes in custom-crafted protein solutions. The company creates high-quality, value-added beef, pork, and poultry products for national restaurant chains, consumer packaged goods companies, and foodservice providers. Ed Miniat is known for its innovative approaches, such as its sous-vide cooking process, which helps deliver consistent and high-quality products to its clients.","Ed Miniat LLC, known for its sous-vide-cooked meat products, announced a $7.8 million expansion of its operations in Carrollton, Georgia, creating 27 new full-time jobs. This investment aims to enhance production capabilities and support the company's growth in the southeastern U.S. Founded in 1958 and headquartered in South Holland, Illinois, Ed Miniat LLC acquired the Carrollton facility in February 2020.",27,,"By Matt Robbins on Oct 22, 2024"
"US Foods Holding Corp. - Lexington, Kentucky  -  -",US Foods Holding Corp.,"Lexington, Kentucky, United States",Expansion,"US Foods is one of America’s great food companies and a leading food service distributor, partnering with approximately 250,000 restaurants and food service operators to help their businesses succeed. With 30,000 employees and more than 70 locations, they provide their customers with a broad and innovative food offering and a comprehensive suite of e-commerce, technology, and business solutions.","US Foods Holding Corp. announced plans to expand its US Foods Stock Yards operations to a 220,000-square-foot facility at 133 Lexington Parkway, the former Sav-A-Lot distribution center in Lexington, Kentucky. This expansion will create 100 new jobs and support the growth of the company's Stock Yards brand, which offers expertly cut and portioned products to foodservice operators and chefs nationwide. The move highlights US Foods' commitment to enhancing its private label offerings and supporting its operational growth.",100,,"By Matt Robbins on Oct 22, 2024"
"Aroma'z Home Carpet and Flooring  - Delran, New Jersey  -  -",Aroma'z Home Carpet and Flooring ,"62 Suburban Boulevard, Delran, New Jersey, 08075, United States",New Facility,"Aroma'z Home Carpet and Flooring is a prominent flooring store serving South and Central Jersey, known for its diverse selection and quality service [1]. They offer various flooring options including carpet, hardwood, laminate, vinyl, and tile & stone.","Aroma’z Home Carpet and Flooring has acquired a 15,000-square-foot warehouse in Delran to expand its operations. This purchase, facilitated by Vantage Commercial, aims to enhance the company’s distribution capabilities and support its long-term growth objectives. The new warehouse, located at 62 Suburban Blvd., provides a prime location with easy access to major highways and transportation routes. The facility's infrastructure and layout are designed to meet Aroma’z logistical and operational needs, aiding the company in better serving its growing customer base.",,,"By Matt Robbins on Oct 22, 2024"
"Nokian Tyres Drive  - Dayton, Tennessee  -  -",Nokian Tyres Drive ,"Nokian Tyres Drive, Dayton, Tennessee, 37321, United States",New Facility,"Nokian Tyres is a Finnish company that specializes in the production of tires for cars, trucks, and heavy-duty vehicles. They are known for their high-quality winter tires and have a strong reputation for providing reliable and durable products.","Nokian Tyres officially opened a new 350,000-square-foot warehouse at its Dayton, Tennessee, plant, marking a half-billion-dollar investment since 2017. The state-of-the-art warehouse, which is highly automated, will enable the company to hire about a dozen more employees, bringing the total workforce to approximately 525. This facility will support the robust demand for SUV and pickup tires by efficiently storing and shipping tires across North America. The expansion is part of Nokian's strategic focus on North America, with the Dayton factory at its core",12,,"By Matt Robbins on Oct 22, 2024"
"ALOM Technologies Corp. - Sacramento, California  -  -",ALOM Technologies Corp.,"Sacramento, California, United States",New Facility,"ALOM Technologies Corp. specializes in global supply chain management solutions, offering services such as procurement, inventory management, assembly, and fulfillment from its 19 global locations. Founded with a focus on supply excellence, ALOM caters to Fortune 500 clients, managing both physical and digital supply chains.","ALOM Technologies Corp. is building a new 170,000-square-foot state-of-the-art battery storage facility in Sacramento, California, to meet fire code, workplace safety, insurance, and regulatory compliance requirements. The facility, scheduled to open in September 2024, will include advanced safety features such as 2-hour rated firewalls, VESDA air sampling, early-stage heat and smoke detection systems, and a temperature-controlled storage area. The facility is designed to store lithium-ion batteries safely, with 1,460 pallet storage locations. ALOM anticipates that the new facility will increase revenue growth fivefold within 24 months, driven by rising demand for safety-rated battery storage solutions.",,,"By Matt Robbins on Oct 22, 2024"
"CTDI - Charlestown, Indiana  -  -",CTDI,"Charlestown, Indiana, 47111, United States",Expansion,"CTDI, or Communications Test Design Inc., is a global engineering, repair, and logistics company that provides solutions for the communications industry.","Communications Test Design Inc. (CTDI), a Pennsylvania-based company, is expanding its operations in southern Indiana by investing $26 million to open a new facility at the River Ridge Commerce Center in Charlestown, creating 650 jobs. CTDI provides engineering, repair, and logistics services for the communications industry. The expansion responds to a growing customer base and leverages the advantageous location for technology companies in southern Indiana. Supported by up to $4.75 million in conditional tax credits from the Indiana Economic Development Corp., the new facility at 1651 Penny Martin Lane will bolster the local economy and tech community. CTDI's continued growth in the region underscores the competitive benefits of doing business at River Ridge.",650,,"By Matt Robbins on Oct 22, 2024"
